Date (MM/DD/YYYY),File,Gtype,Flight Time,Start Time,End Time,Landing,Sensor Info,Sensor Info (300),Sensor Info (400),Sensor Info (500),Sensor Info (600),Sensor Info (700)
8/22/2024,4536-9240051885.igc,ArcusM, 5:31:08,183734,842,HOME,"ArcusM Motor noise registered by ENL sensor at t=['204413', '204414', '204838', '204839', '220406', '220407', '222015', '222016', '222417', '222418', '224903', '224904'] and [6844, 6828, 6066, 6044, 6519, 6503, 5272, 5240, 4166, 4157, 4527, 4518]AGL",,,,,
8/26/2024,4536-9239003569.igc,JS-3-18m,4:38:20,170124,213944,HOME,,,,,,
8/23/2024,4536-9239003515.igc,ASG29,5:01:08,183523,233631,LOUT,,,,,,
8/21/2024,4536-9239003458.igc,JS-3-18m,4:24:24,191547,234011,HOME,"JS-3-18m's MOP monitor reports Engine Run 264 minutes, starts at T=191547 and: 928 msl [-15 agl]; Height gain/loss is: 82",JS-3-18m Motor noise registered by MOP sensor (threshold 300) at t=['191548'] and [-18]AGL,JS-3-18m Motor noise registered by MOP sensor (threshold 400) at t=['191548'] and [-18]AGL,JS-3-18m Motor noise registered by MOP sensor (threshold 500) at t=['191548'] and [-18]AGL,JS-3-18m Motor noise registered by MOP sensor (threshold 600) at t=['191548'] and [-18]AGL,JS-3-18m Motor noise registered by MOP sensor (threshold 700) at t=['191548'] and [-18]AGL
8/11/2024,4536-9239003139.igc,JS-3-18m,3:52:45,181925,221210,HOME,"JS-3-18m Motor noise registered by ENL sensor at t=['220857', '220858'] and [1230, 1227]AGL",,,,,
8/30/2024,4536-9241100603.igc,EB29R,4:26:16,181123,223739,HOME,"EB29R's ENL monitor reports Engine Run 6 minutes, starts at T=181123 and: 951 msl [13 agl]; Height gain/loss is: 2050
EB29R Motor noise registered by ENL sensor at t=['181124', '181816', '181825', '181826', '223701', '223703'] and [13, 2126, 2211, 2224, 124, 121]AGL",,,,,
8/23/2024,4536-9239003512.igc,JS-3-18m_MM, 5:59:49,181643,1632,HOME,,,,,,
8/19/2024,4536-9241100434.igc,JS-5-24m,5:34:07,175540,232947,HOME,,"JS-5-24m Motor noise registered by MOP sensor (threshold 300) at t=['175541', '175546', '212159', '212203', '232503', '232512', '232927', '232930'] and [-6, -12, 6778, 6778, 1621, 1597, 95, 82]AGL","JS-5-24m Motor noise registered by MOP sensor (threshold 400) at t=['175541', '175546', '212159', '212203', '232503', '232512', '232927', '232930'] and [-6, -12, 6778, 6778, 1621, 1597, 95, 82]AGL","JS-5-24m Motor noise registered by MOP sensor (threshold 500) at t=['175541', '175546', '212159', '212203', '232503', '232512', '232927', '232930'] and [-6, -12, 6778, 6778, 1621, 1597, 95, 82]AGL","JS-5-24m Motor noise registered by MOP sensor (threshold 600) at t=['175541', '175546', '232504', '232512'] and [-6, -12, 1624, 1597]AGL","JS-5-24m Motor noise registered by MOP sensor (threshold 700) at t=['175541', '175546', '232504', '232512'] and [-6, -12, 1624, 1597]AGL"
8/18/2024,4536-9240051824.igc,ArcusM,5:00:12,185124,235136,HOME,"ArcusM's ENL monitor reports Engine Run 5 minutes, starts at T=185124 and: 928 msl [-19 agl]; Height gain/loss is: 2021
ArcusM Motor noise registered by ENL sensor at t=['185125', '185644'] and [-22, 2077]AGL",,,,,
8/28/2024,4536-9240051953.igc,ArcusM,3:39:39,174220,212159,HOME,"ArcusM's ENL monitor reports Engine Run 18 minutes, starts at T=203302 and: 1722 msl [912 agl]; Height gain/loss is: 6821
ArcusM Motor noise registered by ENL sensor at t=['203302', '205119'] and [912, 7940]AGL",,,,,
8/30/2024,4536-9239003693.igc,AS33Es18m,3:57:18,181628,221346,HOME,,,,,,
8/19/2024,4536-9240051829.igc,ArcusT,6:23:49,173250,235639,HOME,,,,,,
8/28/2024,4536-9239003630.igc,JS-3-18m,4:08:30,173238,214108,HOME,"JS-3-18m's MOP monitor reports Engine Run 12 minutes, starts at T=203940 and: 1056 msl [341 agl]; Height gain/loss is: 1417
JS-3-18m's MOP monitor reports Engine Run 5 minutes, starts at T=212617 and: 1919 msl [1122 agl]; Height gain/loss is: 1105","JS-3-18m Motor noise registered by MOP sensor (threshold 300) at t=['203940', '205225', '212603', '212609', '212617', '213144'] and [341, 1775, 1103, 1099, 1122, 2191]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 400) at t=['203940', '205225', '212603', '212609', '212617', '213144'] and [341, 1775, 1103, 1099, 1122, 2191]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 500) at t=['203940', '205225', '212603', '212609', '212617', '213144'] and [341, 1775, 1103, 1099, 1122, 2191]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 600) at t=['203941', '205225', '212605', '212609', '212619', '213144'] and [338, 1775, 1086, 1099, 1116, 2191]AGL","JS-3-18m Motor noise registered by MOP sensor (threshold 700) at t=['203941', '205225', '212605', '212609', '212619', '213144'] and [338, 1775, 1086, 1099, 1116, 2191]AGL"
